ID,species,numbers,R_ave,sigma
1,IrPtRuRhAg,66776,174.6,2.971413125
2,IrPtRuRhAg,76667,,3.15090325
3,IrPtRuRhAg,67676,,2.9613917
4,IrPtRuRhAg,77666,,3.007077394
5,IrPtRuRhAg,76766,,3.016947068
6,IrPtRuRhAg,76676,,3.001618165
7,IrPtRuRhAg,67766,,2.976927746
8,IrPtRuRhAg,67667,,3.112606702
9,IrPtRuRhAg,66767,,3.122142796
10,IrPtRuRhAg,66677,,3.107332881
11,IrPtRuRhFe,77666,172.8,4.951088368
12,IrPtRuRhFe,76766,,4.961013234
13,IrPtRuRhFe,66776,,4.906071362
14,IrPtRuRhFe,76676,,4.93245194
15,IrPtRuRhFe,76667,,5.223261785
16,IrPtRuRhFe,67766,,4.92480762
17,IrPtRuRhFe,67676,,4.896035123
18,IrPtRuRhFe,67667,,5.188886341
19,IrPtRuRhFe,66767,,5.198357215
20,IrPtRuRhFe,66677,,5.171106997
21,IrPtRuAgFe,77666,171.2,5.337399678
22,IrPtRuAgFe,76766,,5.349969879
23,IrPtRuAgFe,66776,,5.310965641
24,IrPtRuAgFe,76676,,5.342191813
25,IrPtRuAgFe,76667,,5.531051676
26,IrPtRuAgFe,67766,,5.306145304
27,IrPtRuAgFe,67676,,5.298302904
28,IrPtRuAgFe,67667,,5.488673149
29,IrPtRuAgFe,66767,,5.500897683
30,IrPtRuAgFe,66677,,5.493333322
31,IrPtRhAgFe,77666,170.2,5.104241518
32,IrPtRhAgFe,76766,,5.06349996
33,IrPtRhAgFe,66776,,4.989456587
34,IrPtRhAgFe,76676,,5.083911551
35,IrPtRhAgFe,76667,,5.26589954
36,IrPtRhAgFe,67766,,5.010169842
37,IrPtRhAgFe,67676,,5.030797816
38,IrPtRhAgFe,67667,,5.214639774
39,IrPtRhAgFe,66767,,5.174767467
40,IrPtRhAgFe,66677,,5.194741876
41,IrRuRhAgFe,77666,170.4,5.196562279
42,IrRuRhAgFe,76766,,5.143478877
43,IrRuRhAgFe,66776,,5.077139065
44,IrRuRhAgFe,76676,,5.166861104
45,IrRuRhAgFe,76667,,5.349235544
46,IrRuRhAgFe,67766,,5.107362033
47,IrRuRhAgFe,67676,,5.130908852
48,IrRuRhAgFe,67667,,5.314517182
49,IrRuRhAgFe,66767,,5.262623711
50,IrRuRhAgFe,66677,,5.285478884
51,PtRuRhAgFe,77666,169.8,4.856292032
52,PtRuRhAgFe,76766,,4.792261473
53,PtRuRhAgFe,66776,,4.75958163
54,PtRuRhAgFe,76676,,4.80671453
55,PtRuRhAgFe,76667,,4.991882642
56,PtRuRhAgFe,67766,,4.809645
57,PtRuRhAgFe,67676,,4.824045975
58,PtRuRhAgFe,67667,,5.008573381
59,PtRuRhAgFe,66767,,4.946514433
60,PtRuRhAgFe,66677,,4.960518076
