GOH,GOOH,GO,G1,G2,G3,G4,overpotential,negative overpotential
-0.8475,2.17342261,-0.52525399,-2.74657739,-2.6986766,-0.32224601,0.8475,2.0775,-2.0775
-0.7812,2.21039888,-0.71559551,-2.70960112,-2.92599439,-0.06560449,0.7812,2.0112,-2.0112
-0.7534,2.80962849,0.11870048,-2.11037151,-2.69092801,-0.87210048,0.7534,1.9834,-1.9834
-0.6672,2.67589153,0.36902128,-2.24410847,-2.30687025,-1.03622128,0.6672,1.8972,-1.8972
-0.5685,2.95742081,0.25644593,-1.96257919,-2.70097488,-0.82494593,0.5685,1.7985,-1.7985
-0.4346,3.2127004,0.77148606,-1.7072996,-2.44121434,-1.20608606,0.4346,1.6646,-1.6646
-0.3275,2.83203137,0.20897408,-2.08796863,-2.62305729,-0.53647408,0.3275,1.5575,-1.5575
-0.1816,3.06479418,1.42789482,-1.85520582,-1.63689936,-1.60949482,0.1816,1.4116,-1.4116
-0.1303,3.00934955,0.99886698,-1.91065045,-2.01048257,-1.12916698,0.1303,1.3603,-1.3603
0.0276,3.25538384,1.54385399,-1.66461616,-1.71152985,-1.51625399,-0.0276,1.2024,-1.2024
0.0415,3.10857338,1.95318353,-1.81142662,-1.15538985,-1.91168353,-0.0415,1.1885,-1.1885
0.169,3.72044729,1.52067752,-1.19955271,-2.19976977,-1.35167752,-0.169,1.061,-1.061
0.1864,3.74973127,1.44072782,-1.17026873,-2.30900345,-1.25432782,-0.1864,1.0436,-1.0436
0.2331,3.61930188,1.59286439,-1.30069812,-2.02643749,-1.35976439,-0.2331,0.9969,-0.9969
0.2785,3.39374669,1.68164794,-1.52625331,-1.71209875,-1.40314794,-0.2785,0.9515,-0.9515
0.2978,3.76439224,2.10105879,-1.15560776,-1.66333345,-1.80325879,-0.2978,0.9322,-0.9322
0.4945,3.98033273,2.79893571,-0.93966727,-1.18139702,-2.30443571,-0.4945,0.7355,-0.7355
0.5361,3.80706973,2.36552465,-1.11293027,-1.44154508,-1.82942465,-0.5361,0.6939,-0.6939
0.5641,3.5528907,3.07504305,-1.3671093,-0.47784765,-2.51094305,-0.5641,0.75215235,-0.75215235
0.7287,4.09729253,3.39339193,-0.82270747,-0.7039006,-2.66469193,-0.7287,0.5260994,-0.5260994
